"filename", "language", "TypeScript", "XML", "TypeScript JSX", "JavaScript", "SCSS", "JSON", "PostCSS", "comment", "blank", "total"
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 41, 0, 6, 47
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/assets/react.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/Footer.tsx", "TypeScript JSX", 0, 0, 228, 0, 0, 0, 0, 5, 16, 249
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/Header.tsx", "TypeScript JSX", 0, 0, 314, 0, 0, 0, 0, 19, 28, 361
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/admin/AdminHeader.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 2, 4, 57
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/admin/BlogAdminContent.tsx", "TypeScript JSX", 0, 0, 252, 0, 0, 0, 0, 12, 20, 284
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/admin/BlogMultistepForm.tsx", "TypeScript JSX", 0, 0, 436, 0, 0, 0, 0, 11, 39, 486
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/admin/NewBlogPostForm.tsx", "TypeScript JSX", 0, 0, 195, 0, 0, 0, 0, 13, 23, 231
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/auth/LoginForm.tsx", "TypeScript JSX", 0, 0, 117, 0, 0, 0, 0, 0, 13, 130
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/auth/SignUpForm.tsx", "TypeScript JSX", 0, 0, 119, 0, 0, 0, 0, 0, 15, 134
